"id","contributingInstitution_mission_id","contributingInstitution_missionInstitute_id","contributingInstitution_missionRole_id"
"129","18","3","4"
"130","18","3","3"
"131","19","3","4"
"132","19","3","3"
"133","20","3","4"
"134","20","3","3"
"135","21","3","4"
"136","21","3","3"
"137","22","3","4"
"138","22","3","3"
"139","23","3","4"
"140","23","3","3"
"141","24","3","4"
"142","24","3","3"
"143","25","3","4"
"144","25","3","3"
"145","26","3","4"
"146","26","3","3"
"147","27","3","4"
"148","27","4","4"
"149","27","4","3"
"150","28","3","4"
"151","28","3","3"
"152","29","3","4"
"153","29","3","3"
"154","30","3","4"
"155","30","3","3"
"156","31","3","4"
"157","31","3","3"
"158","32","3","4"
"159","32","3","3"
"160","34","3","4"
"161","34","3","3"
"162","35","3","4"
"163","35","3","3"
"164","36","3","4"
"165","36","3","3"
"166","37","3","4"
"167","37","3","3"
"168","39","3","4"
"169","39","3","3"
"170","40","3","4"
"171","40","3","3"
"172","41","3","4"
"173","41","4","4"
"174","41","4","3"
"175","42","3","4"
"176","42","3","3"
"177","43","3","4"
"178","43","3","3"
"179","44","3","4"
"180","44","3","3"
"181","45","3","4"
"182","45","3","3"
"183","46","3","4"
"184","46","3","3"
"185","47","3","4"
"186","47","3","3"
"187","48","3","4"
"188","48","3","3"
"189","49","3","4"
"190","49","3","3"
"191","50","3","4"
"192","50","4","4"
"193","50","4","3"
"194","51","3","4"
"195","51","4","4"
"196","51","4","3"
"197","52","3","4"
"198","52","4","4"
"199","52","4","3"
"200","53","3","4"
"201","53","3","3"
"202","54","3","4"
"203","54","3","3"
"204","55","3","4"
"205","55","3","3"
"206","56","3","4"
"207","56","3","3"
"208","57","3","4"
"209","57","3","3"
"210","58","3","4"
"211","58","3","3"
"212","59","3","4"
"213","59","3","3"
"214","60","3","4"
"215","60","3","3"
"216","61","3","4"
"217","61","4","4"
"218","61","4","3"
"219","62","3","4"
"220","62","3","3"
"221","63","3","4"
"222","63","3","3"
"223","64","3","4"
"224","64","4","4"
"225","64","4","3"
"226","65","3","4"
"227","65","4","4"
"228","65","4","3"
"229","66","3","4"
"230","66","3","3"
"231","67","3","4"
"232","67","3","3"
"233","68","3","4"
"234","68","4","4"
"235","68","4","3"
"236","69","3","4"
"237","69","3","3"
"238","70","3","4"
"239","70","3","3"
"240","71","3","4"
"241","71","3","3"
"242","72","3","4"
"243","72","3","3"
"244","73","3","4"
"245","73","3","3"
"246","74","3","4"
"247","74","4","4"
"248","74","4","3"
"249","75","3","4"
"250","75","3","3"
"251","76","3","4"
"252","76","3","3"
"253","77","3","4"
"254","77","3","3"
"255","78","3","4"
"256","78","3","3"
