"id","contributor_mission_id","contributor_missionPerson_id","contributor_missionRole_id"
"1","17","2","3"
"2","17","1","4"
"3","18","2","3"
"4","18","1","4"
"5","19","2","3"
"6","19","1","4"
"7","20","2","3"
"8","20","1","4"
"9","21","2","3"
"10","21","1","4"
"11","22","2","3"
"12","22","1","4"
"13","23","2","3"
"14","23","1","4"
"15","24","2","3"
"16","24","1","4"
"17","25","2","3"
"18","25","1","4"
"19","26","2","3"
"20","26","1","4"
"21","27","2","3"
"22","27","1","4"
"23","28","2","3"
"24","28","1","4"
"25","29","2","3"
"26","29","1","4"
"27","30","2","3"
"28","30","1","4"
"29","31","2","3"
"30","31","1","4"
"31","32","2","3"
"32","32","1","4"
"33","33","2","3"
"34","33","4","4"
"35","34","2","3"
"36","34","1","4"
"37","35","2","3"
"38","35","1","4"
"39","36","2","3"
"40","36","1","4"
"41","37","2","3"
"42","37","1","4"
"43","38","6","3"
"44","38","1","4"
"45","39","2","3"
"46","39","1","4"
"47","40","2","3"
"48","40","1","4"
"49","41","6","3"
"50","41","1","4"
"51","42","2","3"
"52","42","1","4"
"53","43","2","3"
"54","43","1","4"
"55","44","2","3"
"56","44","1","4"
"57","45","2","3"
"58","45","1","4"
"59","46","2","3"
"60","46","1","4"
"61","47","2","3"
"62","47","1","4"
"63","48","2","3"
"64","48","1","4"
"65","49","7","3"
"66","49","1","4"
"67","50","6","3"
"68","50","1","4"
"69","51","6","3"
"70","51","1","4"
"71","52","6","3"
"72","52","1","4"
"73","53","2","3"
"74","53","1","4"
"75","54","2","3"
"76","54","1","4"
"77","55","2","3"
"78","55","1","4"
"79","56","2","3"
"80","56","1","4"
"81","57","2","3"
"82","57","1","4"
"83","58","2","3"
"84","58","1","4"
"85","59","2","3"
"86","59","1","4"
"87","60","7","3"
"88","60","1","4"
"89","61","6","3"
"90","61","1","4"
"91","62","2","3"
"92","62","1","4"
"93","63","7","3"
"94","63","1","4"
"95","64","6","3"
"96","64","1","4"
"97","65","6","3"
"98","65","1","4"
"99","66","2","3"
"100","66","1","4"
"101","67","7","3"
"102","67","1","4"
"103","68","6","3"
"104","68","1","4"
"105","69","2","3"
"106","69","1","4"
"107","70","2","3"
"108","70","1","4"
"109","71","2","3"
"110","71","1","4"
"111","72","2","3"
"112","72","1","4"
"113","73","2","3"
"114","73","5","4"
"115","74","6","3"
"116","74","5","4"
"117","75","2","3"
"118","75","5","4"
"119","76","2","3"
"120","76","5","4"
"121","77","2","3"
"122","77","5","4"
"123","78","2","3"
"124","78","1","4"
