"id","instrument_warmUp","instrument_samplingRate","instrument_calibration_id","instrument_mission_id"
"1","1.0","AFAP (4)","1","17"
"2","1.0","AFAP (4)","6","17"
"3","1.0","AFAP (1)","11","17"
"4","1.0","AFAP (4)","1","18"
"5","1.0","AFAP (4)","6","18"
"6","1.0","AFAP (1)","11","18"
"7","1.0","AFAP (4)","13","19"
"8","1.0","AFAP (4)","17","19"
"9","1.0","AFAP (1)","21","19"
"10","1.0","AFAP (4)","1","20"
"11","1.0","AFAP (4)","6","20"
"12","1.0","AFAP (1)","11","20"
"13","1.0","AFAP (4)","13","21"
"14","1.0","AFAP (4)","17","21"
"15","1.0","AFAP (1)","21","21"
"16","1.0","AFAP (4)","31","22"
"17","1.0","AFAP (4)","35","22"
"18","1.0","AFAP (1)","39","22"
"19","1.0","AFAP (4)","22","23"
"20","1.0","AFAP (4)","26","23"
"21","1.0","AFAP (1)","30","23"
"22","1.0","AFAP (4)","1","24"
"23","1.0","AFAP (4)","6","24"
"24","1.0","AFAP (1)","11","24"
"25","1.0","4","32","25"
"26","1.0","4","36","25"
"27","1.0","4","39","25"
"28","1.0","4","40","26"
"29","7.0","4","43","26"
"30","1.0","4","46","26"
"31","1.0","4","22","27"
"32","1.0","4","26","27"
"33","1.0","4","30","27"
"34","1.0","AFAP (4) meant to be 4","14","28"
"35","1.0","AFAP (4) meant to be 4","18","28"
"36","1.0","4","21","28"
"37","1.0","1","40","29"
"38","7.0","1","43","29"
"39","1.0","1","46","29"
"40","1.0","1","14","30"
"41","1.0","1","18","30"
"42","1.0","1","21","30"
"43","1.0","1","2","31"
"44","1.0","1","7","31"
"45","1.0","1","11","31"
"46","1.0","1","14","32"
"47","1.0","1","18","32"
"48","1.0","1","21","32"
"49","10.0","1","2","33"
"50","10.0","1","7","33"
"51","10.0","1","11","33"
"52","10.0","1","23","34"
"53","10.0","1","27","34"
"54","1.0","1","30","34"
"55","1.0","1","32","35"
"56","1.0","1","36","35"
"57","1.0","1","39","35"
"58","10.0","2","23","36"
"59","10.0","2","27","36"
"60","1.0","2","30","36"
"61","10.0","1","23","37"
"62","10.0","1","27","37"
"63","1.0","1","30","37"
"64","1.0","4","14","38"
"65","1.0","4","18","38"
"66","1.0","1","39","38"
"67","10.0","1","40","39"
"68","10.0","1","21","39"
"69","10.0","1","23","40"
"70","10.0","1","27","40"
"71","10.0","1","30","40"
"72","1.0","1","14","41"
"73","1.0","1","18","41"
"74","1.0","1","39","41"
"75","10.0","AFAP(1)","3","42"
"76","10.0","AFAP(1)","8","42"
"77","10.0","AFAP(1)","11","42"
"78","10.0","AFAP(1)","33","44"
"79","10.0","AFAP(1)","37","44"
"80","10.0","AFAP(1)","39","44"
"81","30.0","AFAP(1)","3","45"
"82","30.0","AFAP(1)","8","45"
