"id","calibrationSeaBird43F_Soc","calibrationSeaBird43F_Foffset","calibrationSeaBird43F_Tau20","calibrationSeaBird43F_A","calibrationSeaBird43F_B","calibrationSeaBird43F_C","calibrationSeaBird43F_Enom","calibrationSeaBird43F_calibration_id"
"1","0.00032305","-830.74","1.4","-0.00346","0.000117","-0.0000017302","0.036","6"
"2","0.00028895","-835.35","1.16","-0.00377","0.000117","-0.0000013298","0.036","7"
"3","0.00029006","-829.48","1.06","-0.00444","0.00018","-0.0000028796","0.036","8"
"4","0.00027703","-844.41","0.98","-0.00509","0.000245","-0.0000035643","0.036","9"
"5","0.00027945","-794.2","1.91","-0.00344","0.000155","-0.0000023721","0.036","17"
"6","0.00028722","-777.23","1.09","-0.00445","0.000186","-0.000002865","0.036","18"
"7","0.00030636","-785.65","1.02","-0.0043","0.000156","-0.0000019609","0.036","19"
"8","0.00031884","-807.15","1.67","-0.00421","0.000224","-0.0000034516","0.036","26"
"9","0.00029165","-800.49","1.11","-0.00506","0.000231","-0.0000032232","0.036","27"
"10","0.00034723","-836.94","1.86","-0.005","0.000119","-8.042e-7","0.036","29"
"11","0.00028277","-847.84","1.4","-0.00284","0.000121","-0.0000020639","0.036","35"
"12","0.00031993","-834.99","0.98","-0.00368","0.000141","-0.000002288","0.036","36"
"13","0.00033836","-835.39","1.18","-0.00347","0.000126","-0.0000017894","0.036","37"
"14","0.00033498","-851.2","1.61","-0.00424","0.00019","-0.0000031421","0.036","38"
"15","0.00032649","-839.79","1.23","-0.00372","0.000167","-0.0000027266","0.036","48"
