"id","mission_number","mission_cruiseNumber","mission_deploymentDate","mission_recoveryDate","mission_batteryMax","mission_batteryMin","mission_deploymentLongitude","mission_deploymentLatitude","mission_recoveryLongitude","mission_recoveryLatitude","mission_minimumLongitude","mission_minimumLatitude","mission_maximumLongitude","mission_maximumLatitude","mission_waypointsGiven","mission_distanceTravelled","mission_numberOfYos","mission_numberOfScienceYos","mission_numberOfAlarms","mission_numberOfAlarmsWithOT","mission_hoursOfOT","mission_ballastedDensity","mission_comments","mission_argosTag_id","mission_deploymentVessel_id","mission_institute_id","mission_platformBattery_id","mission_platformName_id","mission_platformNavFirmware_id","mission_platformPayload_id","mission_platformPayloadFirmware_id","mission_platformRelease_id","mission_recoveryVessel_id","mission_profilingScheme","mission_summary","mission_network","mission_project"
"17","36","GLI2018_SEA019_36","2018-02-13","2018-02-15","29.2","28.6","-63.4081","44.521","null","null","-63.41","44.49","-63.28","44.53","DR-ON3-ON2-ON1-DR","27","203","406","0","0","0","1024","Did a fish shape, is mag declinaison accounted for?","5","1","null","1","6","1","1","1","1","1","1","null","OceanGliders > BOON > Northwest Atlantic Ocean",""
"18","43","GLI2018_SEA019_43","2018-03-19","2018-03-23","29.2","28.3","-63.406","44.521","null","null","-63.41","44.06","-63.12","44.53","DR-HL2","60","143","286","2","1","1","1024.6","Altimeter and SMTP mailing issues, lost dropweight, difted almost 48h before recovery by Grenfell","5","1","null","1","6","1","1","1","1","6","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"19","30","GLI2018_SEA021_30","2018-04-11","2018-04-25","29.2","26.5","-63.406","44.521","null","null","-63.46","43.68","-62.55","44.53","DR- HL2-HL3-HL3.3-HL3-HL2-HL1-Tri-DR","310","833","1666","1","0","0","1025","Glider was hold at the surface 3min ?by fisheman? on first day, drifted 2h after 200 yos because of the cycle.total parameter in a config file, dropweight was tapped to glider and altimeter gain was 10. We are now relying on Alseamar SMTP. FTP site was full one night","5","1","null","1","7","1","2","1","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"20","49","GLI2018_SEA019_49","2018-05-15","2018-05-17","29.2","28.7","-63.406","44.521","null","null","-63.41","44.33","-63.31","44.53","DR","40","172","172","2","1","1","1024.3"," Had a ballasting alarm 64, recovered before long week-end, NetCDF_L2 error SOCIB","5","1","null","1","6","1","1","1","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"21","33","GLI2018_SEA021_33","2018-05-17","2018-06-04","29.2","26.4","-63.406","44.521","null","null","-63.54","43.19","-62.1","44.51","DR- HL2-HL3-HL4-HL5-HL4-HL3-HL2-HL1","350","997","997","4","3","3","1023.9"," Nothing major...Had several pitch alarm because pu was too low and 1 depth alarm while coming back to shore","5","1","null","1","7","1","2","1","2","1","1","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"22","25","GLI2018_SEA024_25","2018-06-04","2018-06-28","29.2","26.3","-63.4363","44.3893","null","null","-63.44","42.87","-61.63","44.4","HL1-HL2-HL3-HL4-HL5-HL6-HL5-HL4-HL3-HL2","465","1125","110","3","3","3","1023.5"," Altimeter has continious  hits at 40m while going down,  glider rebooted itself after HL3 (June 8) and lost the CTD after. Dive started at 1 again. PLD has been turned off completly on June 18 on the way back close to HL5. corrosion was found on power cable.","3","1","null","1","9","1","3","1","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"23","32","GLI2018_SEA022_32","2018-06-28","2018-07-20","29.3","26.4","-63.301","44.3165","null","null","-63.47","42.88","-61.64","44.52","HL2-HL3-HL4-HL5-HL6-HL5-HL4-HL3-HL2-HL1-DR","480","1089","544","2","2","2","1023.5","Sub sample data every 60s instead of 30s. One 1024 alarm at the end, glider probably touched the seabed while turning. Perfect mission, more batterie, good comm, good heading, faster,…","5","1","null","1","8","1","4","1","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"24","54","GLI2018_SEA019_54","2018-07-24","2018-08-14","29.2","26.5","-63.421","44.363","null","null","-63.45","43.2","-62.1","44.53","HL2-HL3-HL4-HL5-GL2-GL1-HL2-Tri-DR","440","1198","599","9+","6","6","1022.7","ballast.hy=20 didn't work for 64 alarm, sub sample data every 60s. Angular 256 alarm on first night and at end of mission. We hit internal waves on the way back (dive 522). At least 7x64 alarm, was masked last 5 days cause too often. ","3","1","null","1","6","1","1","1","2","9","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"25","32","GLI2018_SEA024_32","2018-10-15","2018-10-25","29","27","-63.4064","44.5208","null","null","-63.52","43.79","-62.79","44.53","DR-HL2-GL1-HL3.3-GL1-HL2-hl1-Duncans","210","645","322","1","1","1","1022.5","Double mission with SEA032, sampling 4s, ballast.hy=20. Almost beached on Duncans cove rock cliffs.The PLD depth is higher than the Nav depth and Nav depth is false","3","1","null","1","9","2","3","2","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
"26","26","GLI2018_SEA032_26","2018-10-15","2018-10-25","29","27","-63.4064","44.5208","null","null","-63.53","43.78","-62.75","44.53","DR-HL2-GL1-HL3.3-GL1-HL2-hl1-Duncans","220","637","318","8","7","7","1022.5","Double mission with SEA024, sampling 4s, ballast.hy=20.  Almost beached on Duncans cove rock cliffs.The PLD depth is higher than the Nav depth and Nav depth is false","5","1","null","1","10","2","5","2","2","1","2","The Atlantic Zone Monitoring Program (AZMP) was implemented in year 1998 by the four Atlantic regions of Fisheries and Oceans Canada to collect and analyze the biological, chemical, and physical oceanographic field data to characterize and understand the causes of oceanic variability at various time scales, provide multidisciplinary datasets to establish relationships among variables, and provide adequate data to support the development of ocean activities. Ocean gliders were acquired by Fisheries and Oceans Canada in year 2017 and 2018 for both the West and East coast. On the East coast, they have been used to monitor hydrographic sections associated with the AZMP. Here, the AZMP Halifax line is occupied from outside the mouth of Halifax harbor, Nova Scotia Canada at (44.267N, 63.317W) in the off-shelf direction approximately 135 nautical miles to deep waters off the continental slope at (42.475N, 61.433W).","OceanGliders > BOON > Northwest Atlantic Ocean > Atlantic Zone Monitoring Program","Atlantic Zone Monitoring Program"
