"id","variable_standardName","variable_nameVocabulary_id"
"20","time","1"
"21","latitude","1"
"22","longitude","1"
"23","platform_orientation","1"
"24","platform_pitch","1"
"25","platform_roll","1"
"26","sea_water_electrical_conductivity","1"
"27","sea_water_temperature","1"
"28","sea_water_pressure","1"
"29","concentration_of_chlorophyll_in_sea_water","1"
"30","mole_concentration_of_dissolved_molecular_oxygen_in_sea_water","1"
"31","temperature_of_sensor_for_oxygen_in_sea_water","1"
"32","eastward_sea_water_velocity","1"
"33","northward_sea_water_velocity","1"
"34","sea_water_salinity","1"
"35","moles_of_oxygen_per_unit_mass_in_sea_water","1"
"36","sea_water_turbidity","1"
"37","mass_concentration_of_chlorophyll_a_in_sea_water","1"
"38","moles_of_nitrate_per_unit_mass_in_sea_water","1"
"39","sea_water_ph_reported_on_total_scale","1"
"40","upwelling_radiance_in_sea_water","1"
"41","downwelling_photosynthetic_photon_flux_in_sea_water","1"
"42","sea_water_density","1"
"43","depth","1"
