"id","variable_nerc_unit","variable_nerc_unitLongName","variable_nerc_unitVocabulary","variable_nerc_variableLongName","variable_nerc_variableName","variable_nerc_variableVocabulary"
"62","m","Metres","http://vocab.nerc.ac.uk/collection/P06/current/ULAA/","Height above bed in the water body","ALTITUDE","http://vocab.nerc.ac.uk/collection/OG1/current/ALTITUDE/"
"63","/m/sr","per metre per steradian","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/","Particle backscattering at x nanometers","BBP","http://vocab.nerc.ac.uk/collection/OG1/current/BBP/"
"64","/m/sr","per metre per steradian","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/","Particle backscattering at 412 nanometers","BBP412","http://vocab.nerc.ac.uk/collection/OG1/current/BBP412/"
"65","/m/sr","per metre per steradian","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/","Particle backscattering at 470 nanometers","BBP470","http://vocab.nerc.ac.uk/collection/OG1/current/BBP470/"
"66","/m/sr","per metre per steradian","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/","Particle backscattering at 532 nanometers","BBP532","http://vocab.nerc.ac.uk/collection/OG1/current/BBP532/"
"67","/m/sr","per metre per steradian","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/","Particle backscattering at 650 nanometers","BBP650","http://vocab.nerc.ac.uk/collection/OG1/current/BBP650/"
"68","/m/sr","per metre per steradian","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/","Particle backscattering at 700 nanometers","BBP700","http://vocab.nerc.ac.uk/collection/OG1/current/BBP700/"
"69","/m/sr","per metre per steradian","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/","Particle backscattering at 715 nanometers","BBP715","http://vocab.nerc.ac.uk/collection/OG1/current/BBP715/"
"70","/m/sr","per metre per steradian","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/","Particle backscattering at 880 nanometers","BBP880","http://vocab.nerc.ac.uk/collection/OG1/current/BBP880/"
"71","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Total angle specific volume from backscattering sensor at 470 nanometers","BETA_BACKSCATTERING470","http://vocab.nerc.ac.uk/collection/OG1/current/BETA470/"
"72","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Total angle specific volume from backscattering sensor at 532 nanometers","BETA_BACKSCATTERING532","http://vocab.nerc.ac.uk/collection/OG1/current/BETA532/"
"73","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Total angle specific volume from backscattering sensor at 650 nanometers","BETA_BACKSCATTERING650","http://vocab.nerc.ac.uk/collection/OG1/current/BETA650/"
"74","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Total angle specific volume from backscattering sensor at 700 nanometers","BETA_BACKSCATTERING700","http://vocab.nerc.ac.uk/collection/OG1/current/BETA700/"
