"name","seq"
"django_migrations","52"
"django_admin_log","0"
"django_content_type","43"
"auth_permission","172"
"auth_group","0"
"auth_user","0"
"gliderMetadataApp_platformcompany","14"
"gliderMetadataApp_platformname","10"
"gliderMetadataApp_platformnavigationfirmware","14"
"gliderMetadataApp_platformpayload","6"
"gliderMetadataApp_platformpayloadfirmware","12"
"gliderMetadataApp_platformbattery","2"
"gliderMetadataApp_platformrelease","4"
"gliderMetadataApp_instrumentmake","5"
"gliderMetadataApp_instrumenttype","6"
"gliderMetadataApp_instrumentmodel","6"
"gliderMetadataApp_instrumentserialnumber","19"
"gliderMetadataApp_instrumentcalibration","63"
"gliderMetadataApp_contributorpeople","7"
"gliderMetadataApp_vessel","12"
"gliderMetadataApp_argostagptt","6"
"gliderMetadataApp_argostagserialnumber","14"
"gliderMetadataApp_mission","88"
"gliderMetadataApp_instrumentmission","186"
"gliderMetadataApp_vocabulary","2"
"gliderMetadataApp_variablecfstandard","43"
"gliderMetadataApp_unitcfstandard","31"
"gliderMetadataApp_instrumentseabird43foxygencalibrationcoefficients","15"
"gliderMetadataApp_variable","107"
"gliderMetadataApp_variablenercstandard","159"
"gliderMetadataApp_platformvariable","29"
"gliderMetadataApp_institute","6"
"gliderMetadataApp_contributormission","124"
"gliderMetadataApp_role","7"
"gliderMetadataApp_contributinginstitutionmission","256"
"gliderMetadataApp_instrumentvariable","56"
