instrument_model,instrument_serialNumber,instrument_calibrationDate,instrument_calibrationReport,instrument_calibrationReportNotes,instrument_calibrationDateNotes
GPCTD,"""0186""","""2024-04-28""","""GPCTD_0186_20231129_P_Post Cruise.pdf, GPCTD_0186_20231201_C_Post Cruise.pdf, GPCTD_0186_20231201_T_Post Cruise.pdf, GPCTD_0186_20240428_C.pdf, GPCTD_0186_20240428_T.pdf""",,
43F,"""43-3338""","""2024-04-24""","""43F_3338_20231010_postCruise.pdf, 43F_3338_20240127.pdf, 43F_3338_20240424.pdf, 43F_3338_20240424_SOCAdjusted.pdf""",,
GPCTD,"""0175""","""2023-10-11""","""GPCTD_0175_20231004_P.pdf, GPCTD_0175_20231011_C.pdf, GPCTD_0175_20231011_T.pdf""",,
43F,"""43-3276""","""2023-09-29""","""43F_3276_20230929_postCruise.pdf, 43F_3276_20230929_SOCAjusted.pdf""",,
43F,"""43-3276""","""2024-05-10""","""43F_3276_20240510.pdf, 43F_3276_20240510_SOCAdjusted.pdf""",,
GPCTD,"""0188""","""2023-02-26""","""GPCTD_0188_20221209_C_postCruise.pdf, GPCTD_0188_20221209_T_postCruise.pdf, GPCTD_0188_20221215_P.pdf, GPCTD_0188_20230226_C.pdf, GPCTD_0188_20230226_T.pdf""",,
GPCTD,"""0188""","""2024-01-17""","""GPCTD_0188_20231004_P.pdf, GPCTD_0188_20231004_P_postCruise.pdf, GPCTD_0188_20231024_C_postCruise.pdf, GPCTD_0188_20231024_T_postCruise.pdf, GPCTD_0188_20240117_C.pdf, GPCTD_0188_20240117_T.pdf""",,
43F,"""43-3365""","""2023-01-21""","""43F_3365_20221105_postCruise.pdf, 43F_3365_20230121.pdf, 43F_3365_20230121_SOCAdjusted.pdf""",,
43F,"""43-3365""","""2024-01-31""","""43F_3365_20240131.pdf""",,
GPCTD,"""0241""","""2024-01-19""","""GPCTD_0241_20231103_P.pdf, GPCTD_0241_20231109_C_Post Cruise.pdf, GPCTD_0241_20231109_T_Post Cruise.pdf, GPCTD_0241_20240119_C.pdf, GPCTD_0241_20240119_T.pdf""",,
AROD-FT-CE,"""0020""","""2022-02-05""","""AROD_FT_0020_20220205.pdf""",,
AROD-FT-CE,"""0020""","""2023-12-16""","""AROD_FT_0020_20231216.pdf, AROD_FT_0020_20231216_report.pdf""",,
Legato3|fast16,"""210185""","""2022-04-27""","""LEGATO_210185_20220427_neverUsedHadMoneyToSpend.pdf""",,
Legato3|fast16,"""210185""","""2023-01-09""","""LEGATO_210185_20230109.pdf""",,
Legato3|fast16,"""210185""","""2023-09-06""","""LEGATO_210185_20230906.pdf""",,
Legato3|fast16,"""210185""","""2023-11-15""","""LEGATO_210185_20231115.pdf""",,
