"serialNumber","calibrationDate","Soc","Foffset","Tau20","A","B","C","Enom"
"43-3338","2016-04-21",0.00032305,-830.74,1.4,-0.0034562,0.00011709,-1.7302e-06,0.036
"43-3338","2018-12-19",0.00028895,-835.35,1.16,-0.00376649,0.00011716,-1.3298e-06,0.036
"43-3338","2019-07-25",0.00029006,-829.48,1.06,-0.0044375,0.00017964,-2.8796e-06,0.036
"43-3338","2021-02-06",0.00027703,-844.41,0.98,-0.0050876,0.00024486,-3.5643e-06,0.036
"43-3338","2024-04-24",0.00030191,-838.73,1.16,-0.0031616,0.00016126,-2.2348e-06,0.036
"43-3336","2016-04-22",0.00027945,-794.2,1.91,-0.0034437,0.0001548,-2.3721e-06,0.036
"43-3336","2018-08-18",0.00028722,-777.23,1.09,-0.0044454,0.0001863,-2.865e-06,0.036
"43-3336","2022-02-01",0.00030667,-878.86,1.26,-0.0046593,0.00017954,-2.2483e-06,0.036
"43-3336","2019-12-20",0.00030636,-785.65,1.02,-0.0043009,0.00015565,-1.9609e-06,0.036
"43-3276","2016-01-30",0.00031884,-807.15,1.67,-0.0042074,0.00022413,-3.4516e-06,0.036
"43-3276","2019-03-12",0.00029165,-800.49,1.11,-0.0050595,0.0002309,-3.2232e-06,0.036
"43-3276","2021-12-22",0.00034723,-836.94,1.86,-0.0049987,0.00011906,-8.0425e-07,0.036
"43-3276","2023-09-29",0.00033539,-810.81,1.86,-0.0048893,0.0002237,-3.3703e-06,0.036
"43-3365","2016-04-20",0.00028277,-847.84,1.4,-0.0028377,0.00012076,-2.0639e-06,0.036
"43-3365","2018-08-14",0.00031993,-834.99,0.98,-0.0036818,0.00014127,-2.288e-06,0.036
"43-3365","2019-08-18",0.00033836,-835.39,1.18,-0.0034671,0.00012564,-1.7894e-06,0.036
"43-3365","2021-01-05",0.00033498,-851.2,1.61,-0.0042429,0.00019045,-3.1421e-06,0.036
"43-3365","2023-01-21",0.00032649,-839.79,1.23,-0.0037164,0.00016743,-2.7266e-06,0.036
"43-3365","2024-01-31",0.00026773,-800.03,1.27,-0.003314,0.00010937,-1.9124e-06,0.036
