"unitUrn","unitUri"
"SDN:P061::UECA","http://vocab.nerc.ac.uk/collection/P06/current/UECA/"
"SDN:P061::UPDB","http://vocab.nerc.ac.uk/collection/P06/current/UPDB/"
"SDN:P061::UUUU","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/"
"SDN:P061::UPAA","http://vocab.nerc.ac.uk/collection/P06/current/UPAA/"
"SDN:P061::KGUM","http://vocab.nerc.ac.uk/collection/P06/current/KGUM/"
"SDN:P061::UVLT","http://vocab.nerc.ac.uk/collection/P06/current/UVLT/"
"SDN:P061::UTHZ","http://vocab.nerc.ac.uk/collection/P06/current/UTHZ/"
"SDN:P061::UAAA","http://vocab.nerc.ac.uk/collection/P06/current/UAAA/"
"SDN:P061::MMPL","http://vocab.nerc.ac.uk/collection/P06/current/MMPL/"
"SDN:P061::USEC","http://vocab.nerc.ac.uk/collection/P06/current/USEC/"
"SDN:P061::UMLL","http://vocab.nerc.ac.uk/collection/P06/current/UMLL/"
"SDN:P061::UPBB","http://vocab.nerc.ac.uk/collection/P06/current/UPBB/"
"SDN:P061::PMSR","http://vocab.nerc.ac.uk/collection/P06/current/PMSR/"
"SDN:P061::USTU","http://vocab.nerc.ac.uk/collection/P06/current/USTU/"
"SDN:P061::UPRM","http://vocab.nerc.ac.uk/collection/P06/current/UPRM/"
"SDN:P061::UMMC","http://vocab.nerc.ac.uk/collection/P06/current/UMMC/"
"SDN:P061::UPPB","http://vocab.nerc.ac.uk/collection/P06/current/UPPB/"
"SDN:P06::UPOX","http://vocab.nerc.ac.uk/collection/P06/current/UPOX/"
"SDN:P06::UUPH","http://vocab.nerc.ac.uk/collection/P06/current/UUPH/"
"SDN:P061::UWNM","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/"
"SDN:P061::UWNS","http://vocab.nerc.ac.uk/collection/P06/current/UWNS/"
"SDN:P061::UMES","http://vocab.nerc.ac.uk/collection/P06/current/UMES/"
