instrument_variablePlatformCompany,instrument_variableInstrumentModel,instrument_variableStandardCF,instrument_variableSourceName,instrument_variableSourceUnits
13,1,7,GPCTD_CONDUCTIVITY,Sm m-1
13,1,8,GPCTD_TEMPERATURE,Celsius
13,1,9,GPCTD_PRESSURE,dbar
13,3,11,GPCTD_DOF,Hz
13,2,,FLBBCD_CHL_COUNT,counts
13,2,10,FLBBCD_CHL_SCALED,ug l-1
13,2,,FLBBCD_BB_700_COUNT,counts
13,2,,FLBBCD_BB_700_SCALED,m-1 sr-1
13,2,,FLBBCD_CDOM_COUNT,counts
13,2,,FLBBCD_CDOM_SCALED,ug l-1
13,6,,MFLUV1_V1_COUNT,counts
13,6,,MFLUV1_V2_COUNT,counts
13,6,,MFLUV1_V3_COUNT,counts
13,6,,MFLUV1_V4_COUNT,counts
13,6,,MFLUV1_TMP,Celsius
13,6,,MFLUV1_TRY_SCALED,ug l-1
13,6,,MFLUV1_PHE_SCALED,ug l-1
13,6,,MFLUV1_NAPH_SCALED,ug l-1
13,5,12,AROD_FT_TEMP,Celsius
13,5,11,AROD_FT_DO,umol l-1
13,,,PORPOISE_STATUS,boolean
13,,,PORPOISE_EVTS,NA
13,,,PORPOISE_DISK_MOUNTED,boolean
13,,,PORPOISE_DISKS_USAGE,percent
13,,,PORPOISE_DISKS_FULL,boolean
13,,,PORPOISE_SAMPLING_STATUS,boolean
13,,,PORPOISE_ACOUSTIC_RECORDING,boolean
13,4,7,LEGATO_CONDUCTIVITY,mS cm-1
13,4,8,LEGATO_TEMPERATURE,Celsius
13,4,9,LEGATO_PRESSURE,dbar
13,4,,LEGATO_SALINITY,ups
